Datetime,Open,High,Low,Close,Volume_(BTC)
2012-02-16,4.17,4.98,4.15,4.51,93.7539213
2012-02-17,4.67,4.8,4.45,4.45,264.31645376999995
2012-02-18,4.45,4.73,4.14,4.3,318.87763181
2012-02-19,4.33,4.38,4.33,4.38,8.55
2012-02-20,4.72,4.72,4.4,4.44,315.93925361
2012-02-21,4.52,4.58,4.3,4.46,369.72462007000007
2012-02-22,4.57,4.59,4.51,4.51,64.03334778000001
2012-02-23,4.59,5.22,4.55,5.22,714.84400933
2012-02-24,5.12,5.22,4.95,4.95,37.59711782
2012-02-25,5.11,5.11,5.0,5.0,119.80740150999999
2012-02-26,4.79,5.07,4.78,4.98,40.9
2012-02-27,4.97,5.1,4.95,5.09,378.05231410999994
2012-02-28,5.04,5.1,4.71,4.97,373.24339913999995
2012-02-29,4.85,5.05,4.85,5.05,264.51512492999996
2012-03-01,4.99,5.05,4.9,5.0,266.88429054
2012-03-02,4.99,4.99,4.64,4.99,264.63310985
2012-03-03,4.8,4.8,4.6,4.65,107.259917
2012-03-04,4.78,4.97,4.77,4.97,141.61711685999998
2012-03-05,4.86,5.06,4.77,5.06,490.04584997
2012-03-06,5.0,5.05,4.95,4.98,296.62794241999995
2012-03-07,5.05,5.09,4.92,4.92,394.56519882000003
2012-03-08,4.91,5.08,4.87,5.01,305.49290103
2012-03-09,5.01,5.07,4.93,4.93,277.58947934
2012-03-10,4.91,4.99,4.85,4.94,115.82892826
2012-03-11,4.84,5.0,4.84,5.0,22.902526090000002
2012-03-12,4.85,4.99,4.85,4.99,108.76167997000002
2012-03-13,4.99,5.32,4.96,5.3,734.6539430600001
2012-03-14,5.32,5.44,5.27,5.27,1129.74327668
2012-03-15,5.27,5.43,5.27,5.39,633.1678494700002
2012-03-16,5.3,5.41,5.26,5.26,157.69794428999995
2012-03-17,5.38,5.42,5.38,5.42,143.87332861
2012-03-18,5.41,5.42,5.24,5.25,412.66352116999997
2012-03-19,5.24,5.37,4.82,4.82,418.1424853499999
2012-03-20,4.91,4.97,4.79,4.79,276.80718847
2012-03-21,4.9,4.96,4.81,4.81,59.32862903
2012-03-22,4.81,4.98,4.72,4.91,346.41099469999995
2012-03-23,4.73,4.89,4.6,4.78,393.13018483999997
2012-03-24,4.72,4.83,4.62,4.83,191.53850932
2012-03-25,4.61,4.84,4.54,4.54,15.473571920000001
2012-03-26,4.6,4.75,4.54,4.54,89.76455997
2012-03-27,4.6,4.97,4.57,4.72,443.0487480599999
2012-03-28,4.81,4.95,4.76,4.93,326.3014744400002
2012-03-29,4.82,4.9,4.77,4.84,104.2832403
2012-03-30,4.81,4.91,4.76,4.88,161.39879422999996
2012-03-31,4.9,4.92,4.89,4.9,158.37378321
2012-04-01,4.89,4.89,4.77,4.89,308.50586519999996
2012-04-02,4.8,5.04,4.78,5.04,888.57861157
2012-04-03,5.04,5.04,4.86,4.99,244.30290125
2012-04-04,4.92,5.01,4.86,5.01,305.43564087999994
2012-04-05,4.99,5.04,4.89,5.0,400.86488523
2012-04-06,4.9,4.99,4.81,4.92,749.82147162
2012-04-07,4.91,4.92,4.7,4.7,204.79187553999998
2012-04-08,4.8,4.8,4.69,4.76,177.21795867000003
2012-04-09,4.7,4.85,4.7,4.75,158.55832457
2012-04-10,4.75,4.87,4.75,4.8,314.81763742
2012-04-11,4.86,4.92,4.78,4.92,425.60463176999997
2012-04-12,4.87,4.93,4.73,4.93,756.7945518300002
2012-04-13,4.88,4.99,4.81,4.97,1312.8225374999995
2012-04-14,4.98,5.01,4.95,4.96,334.09334643
2012-04-15,4.96,4.99,4.92,4.99,114.97408628000001
2012-04-16,4.93,4.98,4.93,4.98,487.00754874
2012-04-17,4.99,5.01,4.95,5.01,388.36311809000006
2012-04-18,5.01,5.18,5.0,5.07,986.9081118500001
2012-04-19,5.07,5.16,5.06,5.15,310.06761696
2012-04-20,5.16,5.43,5.09,5.37,421.3577827700001
2012-04-21,5.37,5.37,5.19,5.21,269.23067784
2012-04-22,5.21,5.25,5.17,5.17,123.51963707
2012-04-23,5.2,5.25,4.98,5.06,961.17006528
2012-04-24,5.03,5.15,5.03,5.08,1962.1220149900005
2012-04-25,5.12,5.14,4.86,5.06,1657.3390145399997
2012-04-26,5.06,5.12,4.86,5.06,747.90034313
2012-04-27,5.07,5.08,4.99,5.07,748.2837458199999
2012-04-28,5.03,5.03,4.85,4.93,171.44941998000002
2012-04-29,4.95,4.96,4.81,4.91,57.28983653
2012-04-30,4.92,5.02,4.87,5.0,490.5807775600001
2012-05-01,4.94,5.09,4.86,5.09,1083.9520617899998
2012-05-02,5.09,5.15,5.06,5.06,243.11130749
2012-05-03,5.06,5.15,5.05,5.07,979.3730474600001
2012-05-04,5.07,5.15,5.07,5.07,527.2681824
2012-05-05,5.08,5.11,5.02,5.02,361.56063289
2012-05-06,5.05,5.1,4.97,4.97,1358.04794711
2012-05-07,5.0,5.08,5.0,5.08,749.7683176200001
2012-05-08,5.06,5.07,4.99,5.01,622.02586513
2012-05-09,5.03,5.08,4.9,5.02,774.0379660799999
2012-05-10,5.02,5.04,4.87,4.94,476.73011331
2012-05-11,4.92,4.95,4.87,4.95,414.00942425
2012-05-12,4.96,4.97,4.91,4.91,213.51953864
2012-05-13,4.95,4.95,4.94,4.94,395.46296565999995
2012-05-14,4.93,4.99,4.88,4.93,718.72911768
2012-05-15,4.95,5.01,4.9,4.95,600.9959638299999
2012-05-16,5.0,5.04,4.98,5.02,414.0332215
2012-05-17,5.02,5.03,5.01,5.03,378.95728635
2012-05-18,5.04,5.07,5.03,5.07,908.7798155799999
2012-05-19,5.08,5.08,5.05,5.07,168.00597519999997
2012-05-20,5.03,5.08,5.03,5.03,26.40212653
2012-05-21,5.04,5.09,5.01,5.08,354.05739561
2012-05-22,5.05,5.09,5.0,5.09,773.96758546
2012-05-23,5.05,5.1,5.03,5.05,664.76444383
2012-05-24,5.05,5.12,5.05,5.12,702.2269644500001
2012-05-25,5.09,5.1,5.08,5.09,322.8680484
2012-05-26,5.09,5.09,5.06,5.08,341.92953344
2012-05-27,5.08,5.08,5.0,5.08,940.8485701199999
2012-05-28,5.07,5.08,5.04,5.04,192.24033203999997
2012-05-29,5.05,5.12,4.95,5.07,1331.1684434900003
2012-05-30,5.1,5.14,5.08,5.1,1394.5526807200001
2012-05-31,5.14,5.19,5.1,5.19,473.97846771
2012-06-01,5.18,5.24,5.16,5.22,426.46421985000006
2012-06-02,5.2,5.21,5.17,5.19,194.45740006
2012-06-03,5.2,5.2,5.17,5.19,44.12635835
2012-06-04,5.18,5.29,5.14,5.29,1513.1956119499994
2012-06-05,5.28,5.49,5.28,5.41,837.9406569099998
2012-06-06,5.4,5.49,5.37,5.4,701.20908188
2012-06-07,5.4,5.53,5.4,5.46,1713.1052067599999
2012-06-08,5.53,5.63,5.47,5.6,1082.21902146
2012-06-09,5.6,5.62,5.47,5.49,367.23843465
2012-06-10,5.54,5.54,5.42,5.48,251.36877603
2012-06-11,5.45,5.57,5.4,5.52,663.6721660800001
2012-06-12,5.57,5.9,5.53,5.71,9385.774494080002
2012-06-13,5.72,6.0,5.71,5.83,3039.40957554
2012-06-14,5.83,5.91,5.79,5.9,1831.9300272900002
2012-06-15,5.88,6.42,5.56,6.12,2355.87004892
2012-06-16,6.19,6.52,6.19,6.41,695.7166138800001
2012-06-17,6.41,6.47,6.06,6.06,764.1904573600001
2012-06-18,6.13,6.34,5.98,6.06,2143.0986530100004
2012-06-19,6.13,6.49,6.13,6.32,1521.0115808800006
2012-06-20,6.32,6.67,6.26,6.67,1951.4982255099992
2012-06-21,6.67,6.69,6.64,6.65,527.9776471900001
2012-06-22,6.63,6.67,6.48,6.61,915.9319591799996
2012-06-23,6.59,6.59,6.33,6.45,1129.75813779
2012-06-24,6.35,6.45,6.26,6.3,1240.97655474
2012-06-25,6.27,6.35,6.11,6.35,1456.3644888600002
2012-06-26,6.29,6.46,6.17,6.41,2165.09872265
2012-06-27,6.4,6.68,6.34,6.54,11303.573104279994
2012-06-28,6.49,6.54,5.99,6.51,8277.257445370002
2012-06-29,6.51,6.63,6.5,6.58,4606.4230615100005
2012-06-30,6.58,6.61,6.53,6.61,239.83000749999994
2012-07-01,6.59,6.62,6.52,6.52,341.44588674999994
2012-07-02,6.56,6.64,6.55,6.6,1789.6430530599998
2012-07-03,6.6,6.66,6.4,6.46,1933.4187425699995
2012-07-04,6.47,6.55,6.36,6.44,2004.26377459
2012-07-05,6.52,6.66,6.52,6.58,1480.8724300100002
2012-07-06,6.57,6.6,6.39,6.6,1621.0614971299997
2012-07-07,6.6,6.8,6.56,6.71,1466.8900641399998
2012-07-08,6.74,6.77,6.45,6.73,739.6137724699996
2012-07-09,6.77,7.0,6.55,7.0,1819.5489059899996
2012-07-10,7.0,7.13,7.0,7.13,1543.6552358499998
2012-07-11,7.08,7.15,7.04,7.15,774.5477498199998
2012-07-12,7.14,7.63,7.1,7.55,2466.90486663
2012-07-13,7.55,7.69,7.46,7.59,924.2884457300003
2012-07-14,7.58,7.58,7.44,7.55,757.2336758
2012-07-15,7.51,7.57,7.4,7.57,339.2192573300001
2012-07-16,7.55,8.8,7.14,8.04,3821.2653212499995
2012-07-17,8.08,8.79,7.7,8.7,3738.89064483
2012-07-18,8.85,9.15,8.36,9.06,2419.4509116
2012-07-19,9.06,9.2,7.95,7.95,2818.1643779899996
2012-07-20,7.95,8.54,7.93,8.2,1147.238441569999
2012-07-21,8.45,8.91,8.45,8.74,2282.16940688
2012-07-22,8.74,8.8,8.1,8.38,1873.0552770300003
2012-07-23,8.5,8.88,8.25,8.25,2281.74760593
2012-07-24,8.59,8.8,8.5,8.59,1156.82066042
2012-07-25,8.59,8.67,8.24,8.61,1826.5803230000001
2012-07-26,8.56,8.83,8.45,8.76,813.1798806900002
2012-07-27,8.78,8.91,8.76,8.86,711.8534805700003
2012-07-28,8.82,9.0,8.78,8.88,1465.6795194700005
2012-07-29,8.79,8.79,8.54,8.54,1819.8356616400001
2012-07-30,8.7,9.1,8.55,9.1,1560.7729376099996
2012-07-31,9.16,9.38,8.92,9.3,1465.0097063400005
2012-08-01,9.32,9.5,8.9,9.45,2021.0717602499994
2012-08-02,9.42,10.52,9.4,10.44,2243.19377802
2012-08-03,10.44,12.0,10.1,10.92,2439.64752384
2012-08-04,11.11,11.16,10.5,10.8,685.91476338
2012-08-05,10.5,10.71,10.29,10.43,1703.7114289700003
2012-08-06,10.6,10.99,10.5,10.73,2153.02556469
2012-08-07,10.73,10.9,10.72,10.9,1267.81695052
2012-08-08,10.74,11.04,10.7,11.0,2690.6584027800004
2012-08-09,10.97,12.49,10.79,10.95,2304.5342315300013
2012-08-10,10.95,11.5,10.9,11.35,2467.80046661
2012-08-11,11.3,11.4,11.25,11.4,311.8945883999999
2012-08-12,11.34,11.79,11.34,11.79,966.75827394
2012-08-13,11.78,12.0,11.4,12.0,3437.0024211200016
2012-08-14,11.88,12.3,11.81,12.27,2118.1712688199996
2012-08-15,12.21,13.25,12.21,13.0,1558.1531783599996
2012-08-16,12.75,13.5,12.75,13.5,1392.0222729199995
2012-08-17,13.42,16.41,11.5,12.28,4890.184097000002
2012-08-18,12.49,12.63,11.0,11.0,2549.4264479900007
2012-08-19,10.92,11.13,7.1,9.79,6660.114212900001
2012-08-20,9.79,10.33,8.86,9.95,2318.4442884600007
2012-08-21,10.0,10.51,9.64,9.86,3336.965061299998
2012-08-22,9.86,10.71,9.75,9.96,7931.835308910002
2012-08-23,10.0,10.19,9.78,10.1,2808.4343994099986
2012-08-24,10.04,10.58,9.83,10.25,4151.390057899999
2012-08-25,10.25,10.62,10.14,10.55,649.54741102
2012-08-26,10.55,10.62,10.2,10.53,1303.3063737900002
2012-08-27,10.53,11.93,10.52,10.92,4576.248617720001
2012-08-28,10.97,11.21,10.63,10.9,4108.629820780001
2012-08-29,11.03,11.05,10.49,10.91,3374.3329421500002
2012-08-30,10.86,10.9,10.51,10.65,1437.3445269100002
2012-08-31,10.51,10.8,9.69,10.2,2927.2301542199984
2012-09-01,9.9,10.15,9.85,9.9,663.9696929
2012-09-02,9.86,10.18,9.49,10.06,1395.2181188700001
2012-09-03,10.05,10.55,9.95,10.35,1125.3588281200002
2012-09-04,10.32,10.5,10.14,10.42,2665.63829785
2012-09-05,10.38,10.99,10.12,10.8,1912.1157675200006
2012-09-06,10.9,11.15,10.68,10.83,3402.564110259999
2012-09-07,10.84,11.09,10.81,10.81,1220.2588802199998
2012-09-08,10.82,11.11,10.3,10.96,1303.0281262000005
2012-09-09,10.96,11.04,10.84,10.85,1445.0121236
2012-09-10,10.95,11.08,10.74,10.98,2339.64030071
2012-09-11,10.9,11.11,10.38,10.95,5287.934822010005
2012-09-12,11.05,11.21,10.81,11.21,1876.4848215200007
2012-09-13,11.02,11.42,10.98,11.35,2809.0568715199997
2012-09-14,11.21,11.7,11.12,11.5,1413.0842200099999
2012-09-15,11.6,11.7,11.35,11.7,885.1094832599997
2012-09-16,11.71,11.8,11.53,11.75,998.6346617900003
2012-09-17,11.75,11.88,11.58,11.79,742.6358291600002
2012-09-18,11.7,12.28,11.67,11.91,3786.18904697
2012-09-19,11.93,12.5,11.93,12.45,1279.7158053
2012-09-20,12.45,12.66,12.27,12.33,753.2247854299999
2012-09-21,12.33,12.35,12.01,12.04,2010.4194530599996
2012-09-22,12.15,12.16,11.95,11.96,712.59425273
2012-09-23,12.0,12.0,11.79,11.99,1057.4790235300002
2012-09-24,11.99,11.99,11.69,11.9,1739.2804992799993
2012-09-25,11.89,12.18,11.56,11.87,3091.6795559400002
2012-09-26,11.53,12.2,11.53,12.1,2835.6259952099986
2012-09-27,12.07,12.38,11.84,12.21,3283.7857202699975
2012-09-28,12.21,12.28,11.53,12.15,2895.9915382500008
2012-09-29,12.13,12.28,12.12,12.18,518.39242175
2012-09-30,12.19,12.28,12.17,12.22,153.70924584000002
2012-10-01,12.21,12.27,11.6,12.23,3176.1016446600015
2012-10-02,12.23,12.7,12.19,12.6,4650.08931345
2012-10-03,12.6,12.99,12.45,12.9,5226.767293609999
2012-10-04,12.89,12.9,12.51,12.6,3453.58713104
2012-10-05,12.62,12.7,11.5,12.51,4901.702446169999
2012-10-06,12.51,12.6,12.06,12.1,1804.9960858700008
2012-10-07,12.05,12.45,11.52,11.6,3352.9105439200002
2012-10-08,11.65,11.73,10.42,11.73,2679.93514554
2012-10-09,11.66,12.26,11.52,11.98,1953.9572121599997
2012-10-10,11.98,12.25,11.75,12.13,2896.517864840002
2012-10-11,12.05,12.09,11.58,12.0,1838.6490729899997
2012-10-12,12.0,12.1,11.81,11.88,691.2501739000002
2012-10-13,11.88,12.0,11.8,11.8,476.85650663
2012-10-14,11.85,11.9,11.67,11.67,521.4878404899999
2012-10-15,11.66,11.84,11.03,11.8,3247.457072470001
2012-10-16,11.8,11.94,11.3,11.78,995.73041809
2012-10-17,11.78,11.97,11.15,11.84,3006.7764560300016
2012-10-18,11.78,11.9,11.55,11.8,6563.149132289999
2012-10-19,11.83,11.84,11.5,11.58,4877.58073434
2012-10-20,11.57,11.7,11.53,11.59,711.6149561699999
2012-10-21,11.59,11.6,11.29,11.5,2103.6447928899997
2012-10-22,11.33,11.57,11.27,11.5,2332.5478223400005
2012-10-23,11.51,11.7,11.01,11.01,2713.62225901
2012-10-24,11.48,11.62,11.04,11.39,2692.230533000001
2012-10-25,11.31,11.39,10.4,10.84,3121.5792541100004
2012-10-26,10.47,10.84,9.68,9.99,2364.77482249
2012-10-27,9.99,10.75,9.5,10.35,1945.4458505700002
2012-10-28,10.32,10.75,10.3,10.69,973.79429112
2012-10-29,10.54,10.81,10.32,10.81,2762.2221682500012
2012-10-30,10.81,10.81,10.43,10.79,3244.771248640001
2012-10-31,10.79,11.0,10.66,11.0,2572.5907325499998
2012-11-01,10.99,11.05,10.63,10.86,1708.9298595500004
2012-11-02,10.91,10.96,10.45,10.64,2489.2559573499993
2012-11-03,10.64,10.69,10.41,10.45,1550.77875818
2012-11-04,10.64,10.68,10.4,10.64,2050.40666206
2012-11-05,10.64,10.8,10.5,10.79,5594.91450184
2012-11-06,10.73,10.79,10.51,10.72,3629.8934920800007
2012-11-07,10.75,10.84,10.45,10.82,3650.08079663
2012-11-08,10.82,10.83,10.25,10.61,3176.9904019299993
2012-11-09,10.78,10.84,10.63,10.8,2102.5582608600002
2012-11-10,10.8,10.87,10.63,10.71,1015.5779314099997
2012-11-11,10.82,10.85,10.64,10.79,646.9675946500001
2012-11-12,10.78,10.94,10.72,10.94,1259.3417753499998
2012-11-13,10.95,10.99,10.76,10.87,2449.61514724
2012-11-14,10.87,10.98,10.74,10.97,1287.7083607
2012-11-15,10.98,11.05,10.81,11.05,2592.690639760001
2012-11-16,11.05,11.64,10.96,11.64,7000.820978379999
2012-11-17,11.5,11.65,11.45,11.65,774.1885622
2012-11-18,11.58,11.64,11.32,11.6,1050.47319884
2012-11-19,11.6,11.66,11.03,11.66,4203.032231210001
2012-11-20,11.66,11.69,11.44,11.64,2515.6660343099998
2012-11-21,11.63,11.67,11.34,11.67,3534.0851581699994
2012-11-22,11.67,12.12,11.63,11.99,9935.899825869992
2012-11-23,11.99,12.17,11.66,12.17,2099.7546529600013
2012-11-24,12.18,12.3,12.06,12.21,1387.2654938199996
2012-11-25,12.21,12.36,12.2,12.36,1279.4913122899998
2012-11-26,12.36,12.4,12.11,12.15,4404.376866819999
2012-11-27,12.12,12.23,11.75,12.08,3760.6056453600013
2012-11-28,12.09,12.74,12.09,12.22,4251.36772084
2012-11-29,12.24,12.41,12.1,12.37,3698.63418463
2012-11-30,12.37,12.45,12.25,12.43,3465.599694040002
2012-12-01,12.44,12.46,12.31,12.45,2365.04294276
2012-12-02,12.43,12.47,12.24,12.44,2431.875237469999
2012-12-03,12.44,12.6,12.32,12.53,4588.407729730001
2012-12-04,12.52,13.01,12.42,12.76,5417.142427519997
2012-12-05,12.77,13.43,12.63,13.2,3174.0134905599994
2012-12-06,13.13,13.59,13.02,13.27,4773.272083730001
2012-12-07,13.33,13.48,13.11,13.3,3166.31564503
2012-12-08,13.3,13.37,13.3,13.36,509.76778114
2012-12-09,13.35,13.36,13.1,13.14,1278.77227066
2012-12-10,13.14,13.4,13.03,13.17,6376.382573739998
2012-12-11,13.22,13.42,13.13,13.42,2941.431893779999
2012-12-12,13.42,13.5,13.23,13.5,3794.6703191300016
2012-12-13,13.49,13.52,13.05,13.51,5077.69610716
2012-12-14,13.39,13.94,13.38,13.49,5935.310929749999
2012-12-15,13.57,13.57,13.28,13.31,1669.2647266599993
2012-12-16,13.39,13.44,13.27,13.27,1075.8651567000002
2012-12-17,13.28,13.3,12.85,13.25,5321.252249099999
2012-12-18,13.3,13.62,12.75,13.01,5481.222501190001
2012-12-19,13.07,13.4,13.0,13.4,4821.540426240002
2012-12-20,13.27,13.44,13.14,13.38,1908.03041478
2012-12-21,13.26,13.41,13.2,13.3,2547.8145781600006
2012-12-22,13.35,13.37,13.11,13.15,896.2224041299997
2012-12-23,13.22,13.26,13.04,13.17,464.68197627
2012-12-24,13.11,13.24,13.01,13.13,1549.6520135799997
2012-12-25,13.12,13.25,13.09,13.24,1095.6574148399998
2012-12-26,13.09,13.25,13.01,13.25,2355.0205812500008
2012-12-27,13.25,13.25,12.91,13.19,3298.99926117
2012-12-28,13.19,13.29,13.01,13.28,4181.894769170001
2012-12-29,13.28,13.28,13.11,13.22,268.60481193000004
2012-12-30,13.15,13.29,13.1,13.2,988.9586931100001
2012-12-31,13.2,13.29,13.05,13.24,1616.2759689299992
2013-01-01,13.24,13.24,12.77,13.22,2116.9294086200002
2013-01-02,13.12,13.19,12.98,13.18,1855.6711790499996
2013-01-03,13.18,13.26,12.96,13.19,3326.28299806
2013-01-04,13.13,13.24,12.84,13.19,2767.7211271800006
2013-01-05,13.17,13.17,13.03,13.11,1380.8848292200005
2013-01-06,13.11,13.15,13.06,13.1,449.7961894999999
2013-01-07,13.11,13.2,13.04,13.08,4269.911417580001
2013-01-08,13.16,13.52,13.16,13.36,5793.20753351
2013-01-09,13.4,13.67,13.18,13.58,4619.07761528
2013-01-10,13.58,14.19,13.5,13.86,4030.87213643
2013-01-11,14.0,14.1,13.85,14.03,2554.2584205699986
2013-01-12,14.03,14.07,13.84,13.94,1764.9173990200004
2013-01-13,14.0,14.03,13.54,13.54,1837.6584534499998
2013-01-14,13.53,14.12,13.5,14.12,4082.9352944400007
2013-01-15,14.12,14.32,13.88,14.27,5013.762242799999
2013-01-16,14.27,14.65,14.08,14.46,5414.48636306
2013-01-17,14.59,15.68,14.49,15.68,5814.651413939996
2013-01-18,15.68,15.7,15.17,15.52,6183.277756529999
2013-01-19,15.52,15.6,15.32,15.5,1929.4489777200004
2013-01-20,15.38,15.69,15.38,15.69,1695.797748920001
2013-01-21,15.69,16.98,15.68,16.45,5486.53089463
2013-01-22,16.45,17.6,16.45,17.47,3819.71243985
2013-01-23,17.35,17.65,16.86,17.45,5424.938990800004
2013-01-24,17.48,19.2,16.0,16.16,16330.533837899997
2013-01-25,16.2,17.72,16.2,17.0,3462.734092089998
2013-01-26,16.99,17.49,16.67,17.29,2132.4443695099994
2013-01-27,17.47,17.6,17.08,17.55,2770.9499605599995
2013-01-28,17.6,18.74,17.6,18.54,5167.576228659999
2013-01-29,18.6,19.85,18.55,19.05,4489.724311759997
2013-01-30,19.2,19.46,18.85,19.46,2524.727429530001
2013-01-31,19.44,21.0,19.44,20.22,5697.17012177
2013-02-01,20.22,20.9,20.04,20.53,3662.901301680001
2013-02-02,20.31,20.45,19.5,20.0,4707.380633370001
2013-02-03,20.0,20.59,19.84,20.56,2412.5770128500008
2013-02-04,20.53,20.7,19.9,20.24,4681.329234720003
2013-02-05,20.3,20.69,20.08,20.5,3047.46810091
2013-02-06,20.5,20.99,20.33,20.9,3454.5477267199985
2013-02-07,20.99,21.96,20.92,21.95,6392.618175380004
2013-02-08,21.92,22.63,21.81,22.5,2690.1940559799996
2013-02-09,22.5,23.5,22.24,23.49,2473.0446811700003
2013-02-10,23.4,23.8,22.85,23.6,1910.2418223000009
2013-02-11,23.75,24.0,23.16,24.0,3923.85041742
2013-02-12,23.99,25.85,23.9,25.43,7584.082710890001
2013-02-13,25.7,25.97,22.42,24.77,8722.139016080002
2013-02-14,24.77,27.5,24.6,27.12,7355.6952676200035
2013-02-15,27.03,27.56,26.72,27.5,3099.4015600399985
2013-02-16,27.49,27.58,26.71,27.4,2698.19688708
2013-02-17,27.37,27.5,25.25,26.99,8124.015732809998
2013-02-18,27.0,27.5,26.29,27.5,4356.22336045
2013-02-19,27.5,29.5,27.29,29.5,8362.820650520005
2013-02-20,29.5,30.07,29.21,29.97,3988.5193611899995
2013-02-21,29.9,30.35,29.6,30.35,3629.5499016200006
2013-02-22,30.34,31.49,29.9,29.93,6419.70834921
2013-02-23,29.93,30.05,27.67,29.6,3316.8718240999983
2013-02-24,29.47,30.37,29.08,29.8,1507.6847445100002
2013-02-25,29.8,30.49,29.8,30.25,1708.48361125
2013-02-26,30.25,32.0,29.85,31.09,5400.05215991
2013-02-27,31.1,32.55,30.83,31.64,4677.864822289999
2013-02-28,32.36,34.42,31.76,33.69,5358.318498330006
2013-03-01,33.7,34.75,33.38,33.6,4061.141235149998
2013-03-02,34.16,34.77,33.75,34.34,1062.16803086
2013-03-03,34.3,34.46,33.91,34.4,1307.7588946999997
2013-03-04,34.41,37.0,34.41,37.0,6526.157509309999
2013-03-05,36.9,43.79,36.9,43.79,6447.044537020003
2013-03-06,43.8,49.17,33.0,43.24,17603.908892110016
2013-03-07,43.25,44.79,35.0,42.47,9960.52515495001
2013-03-08,42.5,44.37,42.0,43.76,3885.61271869
2013-03-09,43.25,46.5,43.0,46.2,3037.3462214399988
2013-03-10,46.2,47.0,45.0,46.3,1100.57158412
2013-03-11,45.94,48.38,36.0,37.12,6406.543685420002
2013-03-12,37.12,46.82,37.12,45.03,8210.52953028
2013-03-13,45.03,47.3,44.93,47.3,3752.0777111799994
2013-03-14,47.3,47.97,46.8,47.29,3010.2479777499975
2013-03-15,47.29,47.29,46.77,46.77,1197.72222584
2013-03-16,46.9,47.0,46.58,46.84,815.7599731900003
2013-03-17,46.85,47.24,46.75,46.98,1094.3904956
2013-03-18,46.98,52.0,46.98,51.72,6443.52378428
2013-03-19,51.74,60.0,51.01,59.37,9035.536668199995
2013-03-20,59.91,67.99,58.95,66.0,8490.267787470002
2013-03-21,65.58,76.91,65.3,73.02,10043.796872470002
2013-03-22,73.02,74.29,65.0,68.28,5214.477277359998
2013-03-23,69.1,72.0,50.09,63.77,13153.417260519993
2013-03-24,63.77,71.0,63.77,69.86,3618.5526258299988
2013-03-25,69.25,80.0,69.25,76.14,8326.56197481
2013-03-26,76.14,100.0,74.64,82.23,6654.133621860006
2013-03-27,82.23,90.99,80.23,89.77,6176.524324679995
2013-03-28,89.92,97.0,80.0,90.88,11023.266065720005
2013-03-29,88.74,95.0,87.3,92.72,5455.169493020006
